105/08/24,407000,2393120,5.88,5.89,5.83,5.87,-0.05,12
105/08/25,400000,2347000,5.86,5.87,5.86,5.87,,8
105/08/26,400000,2340000,5.86,5.86,5.84,5.84,-0.03,8
105/08/29,300000,1749000,5.82,5.84,5.82,5.84,,6
105/08/30,430000,2511200,5.84,5.84,5.84,5.84,,21
105/08/31,369000,2158160,5.85,5.86,5.84,5.84,,11
105/09/01,383000,2238520,5.84,5.85,5.84,5.85,0.01,8
105/09/02,408000,2382640,5.83,5.84,5.83,5.84,-0.01,15
105/09/05,303000,1769610,5.87,5.87,5.83,5.83,-0.01,8
105/09/06,200000,1180000,5.90,5.90,5.90,5.90,0.07,5
105/09/07,400000,2367000,5.91,5.92,5.91,5.92,0.02,11
105/09/08,340000,1999200,5.88,5.88,5.88,5.88,-0.04,13
105/09/09,360000,2129600,5.91,5.92,5.91,5.92,0.04,14
105/09/10,405000,2336850,5.77,5.77,5.77,5.77,-0.15,9
105/09/12,403000,2297140,5.72,5.72,5.70,5.70,-0.07,12
105/09/13,400000,2288000,5.72,5.72,5.72,5.72,0.02,12
105/09/14,390000,2246400,5.76,5.76,5.76,5.76,0.04,8
105/09/19,400000,2286000,5.70,5.73,5.70,5.73,-0.03,12
105/09/20,350000,2005500,5.73,5.73,5.73,5.73,,7
105/09/21,300000,1722000,5.74,5.74,5.74,5.74,0.01,15
105/09/22,330000,1917300,5.81,5.81,5.81,5.81,0.07,9
105/09/23,111000,644910,5.81,5.81,5.81,5.81,,5
105/09/26,120000,688800,5.74,5.74,5.74,5.74,-0.07,4
105/09/29,100000,568000,5.68,5.68,5.68,5.68,-0.06,3
105/09/30,101000,575690,5.69,5.70,5.69,5.70,0.02,3
105/10/03,110000,630300,5.73,5.73,5.73,5.73,0.03,3
105/10/04,100000,573000,5.73,5.73,5.73,5.73,,2
105/10/05,0,0,--,--,--,--,,0
105/10/06,120000,691200,5.76,5.76,5.76,5.76,X,4
105/10/07,120000,690000,5.75,5.75,5.75,5.75,-0.01,5
105/10/11,100000,580000,5.80,5.80,5.80,5.80,0.05,2
105/10/12,100000,571000,5.71,5.71,5.71,5.71,-0.09,2
105/10/13,101000,580750,5.75,5.75,5.75,5.75,0.04,3
105/10/14,100000,575000,5.75,5.75,5.75,5.75,,2
105/10/17,100000,580000,5.80,5.80,5.80,5.80,0.05,2
105/10/18,111000,637030,5.73,5.74,5.73,5.73,-0.07,4
105/10/19,100000,583000,5.83,5.83,5.83,5.83,0.10,2
105/10/20,100000,584000,5.84,5.84,5.84,5.84,0.01,2
105/10/21,100000,587000,5.87,5.87,5.87,5.87,0.03,2
105/10/24,200000,1174000,5.87,5.87,5.87,5.87,,4
105/10/25,100000,594000,5.94,5.94,5.94,5.94,0.07,2
105/10/26,100000,593000,5.93,5.93,5.93,5.93,-0.01,5
105/10/27,101000,596400,5.90,5.91,5.90,5.90,-0.03,3
105/10/28,101000,598930,5.93,5.93,5.93,5.93,0.03,3
105/10/31,100000,586000,5.86,5.86,5.86,5.86,-0.07,2
105/11/01,100000,591000,5.91,5.91,5.91,5.91,0.05,2
105/11/02,100000,591000,5.91,5.91,5.91,5.91,,2
105/11/03,100000,590000,5.90,5.90,5.90,5.90,-0.01,2
105/11/04,100000,594000,5.94,5.94,5.94,5.94,0.04,2
105/11/07,100000,584000,5.84,5.84,5.84,5.84,-0.10,2
105/11/08,100000,596000,5.96,5.96,5.96,5.96,0.12,2
105/11/09,0,0,--,--,--,--,,0
105/11/10,100000,599000,5.99,5.99,5.99,5.99,X,2
105/11/11,100000,600000,6.00,6.00,6.00,6.00,0.01,2
105/11/14,126000,760780,6.03,6.04,6.03,6.04,0.04,3
105/11/15,100000,603000,6.03,6.03,6.03,6.03,-0.01,2
105/11/16,3000,17990,6.00,6.00,5.99,5.99,-0.04,2
105/11/17,109000,659090,6.01,6.05,6.01,6.05,0.06,3
105/11/18,100000,608000,6.08,6.08,6.08,6.08,0.03,2
105/11/21,103000,627230,6.08,6.09,6.07,6.09,0.01,4
105/11/22,100000,612000,6.12,6.12,6.12,6.12,0.03,2
105/11/23,100000,616000,6.16,6.16,6.16,6.16,0.04,2
105/11/24,100000,617000,6.17,6.17,6.17,6.17,0.01,2
105/11/25,100000,617000,6.17,6.17,6.17,6.17,,2
105/11/28,102000,640540,6.27,6.28,6.27,6.28,0.11,3
105/11/29,100000,627000,6.27,6.27,6.27,6.27,-0.01,2
105/11/30,100000,628000,6.28,6.28,6.28,6.28,0.01,2
105/12/01,103000,647810,6.27,6.29,6.27,6.29,0.01,3
105/12/02,100000,624000,6.24,6.24,6.24,6.24,-0.05,2
105/12/05,100000,623000,6.23,6.23,6.23,6.23,-0.01,2
105/12/06,100000,614000,6.14,6.14,6.14,6.14,-0.09,2
105/12/07,100000,614000,6.14,6.14,6.14,6.14,,2
105/12/08,100000,611000,6.11,6.11,6.11,6.11,-0.03,2
105/12/09,150000,928500,6.19,6.19,6.19,6.19,0.08,3
105/12/12,100000,615000,6.15,6.15,6.15,6.15,-0.04,2
105/12/13,200000,1218000,6.09,6.09,6.09,6.09,-0.06,4
105/12/14,100000,611000,6.11,6.11,6.11,6.11,0.02,2
105/12/15,102000,611080,6.04,6.04,5.99,5.99,-0.12,3
105/12/16,100000,599000,5.99,5.99,5.99,5.99,,2
105/12/19,0,0,--,--,--,--,,0
105/12/20,102000,605880,5.94,5.94,5.94,5.94,X,3
